date,JHH_optimistic,SH_optimistic,BMC_optimistic,HCGH_optimistic,SMH_optimistic,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_moderate,JHH_pessimistic,SH_pessimistic,BMC_pessimistic,HCGH_pessimistic,SMH_pessimistic,JHH_optimistic_std,SH_optimistic_std,BMC_optimistic_std,HCGH_optimistic_std,SMH_optimistic_std,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_moderate_std,JHH_pessimistic_std,SH_pessimistic_std,BMC_pessimistic_std,HCGH_pessimistic_std,SMH_pessimistic_std
2020-03-24,27.0,9.0,2.0,5.0,3.0,27.0,9.0,2.0,5.0,3.0,27.0,9.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,29.0,12.0,3.0,10.0,3.0,29.0,12.0,3.0,10.0,3.0,29.0,12.0,3.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,38.0,14.0,2.0,9.0,4.0,38.0,14.0,2.0,9.0,4.0,38.0,14.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,45.0,19.0,1.0,10.0,9.0,45.0,19.0,1.0,10.0,9.0,45.0,19.0,1.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,52.0,22.0,2.0,11.0,8.0,52.0,22.0,2.0,11.0,8.0,52.0,22.0,2.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,59.0,24.0,3.0,14.0,9.0,59.0,24.0,3.0,14.0,9.0,59.0,24.0,3.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,63.0,30.0,4.0,9.0,10.0,63.0,30.0,4.0,9.0,10.0,63.0,30.0,4.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,73.0,29.0,5.0,4.0,9.0,73.0,29.0,5.0,4.0,9.0,73.0,29.0,5.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,86.0,30.0,6.0,6.0,7.0,86.0,30.0,6.0,6.0,7.0,86.0,30.0,6.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,90.0,34.0,8.0,12.0,9.0,90.0,34.0,8.0,12.0,9.0,90.0,34.0,8.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,93.0,37.0,11.0,9.0,9.0,93.0,37.0,11.0,9.0,9.0,93.0,37.0,11.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,96.0,38.0,13.0,15.0,10.0,96.0,38.0,13.0,15.0,10.0,96.0,38.0,13.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,100.0,35.0,13.0,10.0,5.0,100.0,35.0,13.0,10.0,5.0,100.0,35.0,13.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,102.0,40.0,20.0,6.0,6.0,102.0,40.0,20.0,6.0,6.0,102.0,40.0,20.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,107.0,50.0,22.0,10.0,6.0,107.0,50.0,22.0,10.0,6.0,107.0,50.0,22.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,109.0,54.0,15.0,16.0,7.0,109.0,54.0,15.0,16.0,7.0,109.0,54.0,15.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,107.0,51.0,13.0,18.0,12.0,107.0,51.0,13.0,18.0,12.0,107.0,51.0,13.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,110.0,53.0,10.0,21.0,12.0,110.0,53.0,10.0,21.0,12.0,110.0,53.0,10.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,112.0,51.0,11.0,23.0,11.0,112.0,51.0,11.0,23.0,11.0,112.0,51.0,11.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,110.0,48.0,13.0,30.0,10.0,110.0,48.0,13.0,30.0,10.0,110.0,48.0,13.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,118.0,54.0,15.0,32.0,12.0,118.0,54.0,15.0,32.0,12.0,118.0,54.0,15.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
