date,JHH_baseline,SH_baseline,BMC_baseline,HCGH_baseline,SMH_baseline,JHH_optimistic,SH_optimistic,BMC_optimistic,HCGH_optimistic,SMH_optimistic,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_moderate,JHH_pessimistic,SH_pessimistic,BMC_pessimistic,HCGH_pessimistic,SMH_pessimistic,JHH_baseline_std,SH_baseline_std,BMC_baseline_std,HCGH_baseline_std,SMH_baseline_std,JHH_optimistic_std,SH_optimistic_std,BMC_optimistic_std,HCGH_optimistic_std,SMH_optimistic_std,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_moderate_std,JHH_pessimistic_std,SH_pessimistic_std,BMC_pessimistic_std,HCGH_pessimistic_std,SMH_pessimistic_std
2020-03-24,26.0,9.0,2.0,5.0,2.0,26.0,9.0,2.0,5.0,2.0,26.0,9.0,2.0,5.0,2.0,26.0,9.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,27.0,10.0,3.0,9.0,4.0,27.0,10.0,3.0,9.0,4.0,27.0,10.0,3.0,9.0,4.0,27.0,10.0,3.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,37.0,13.0,2.0,10.0,5.0,37.0,13.0,2.0,10.0,5.0,37.0,13.0,2.0,10.0,5.0,37.0,13.0,2.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,45.0,18.0,2.0,10.0,9.0,45.0,18.0,2.0,10.0,9.0,45.0,18.0,2.0,10.0,9.0,45.0,18.0,2.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,51.0,22.0,0.0,13.0,9.0,51.0,22.0,0.0,13.0,9.0,51.0,22.0,0.0,13.0,9.0,51.0,22.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,60.0,24.0,2.0,15.0,9.0,60.0,24.0,2.0,15.0,9.0,60.0,24.0,2.0,15.0,9.0,60.0,24.0,2.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,57.0,30.0,4.0,14.0,10.0,57.0,30.0,4.0,14.0,10.0,57.0,30.0,4.0,14.0,10.0,57.0,30.0,4.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,70.0,33.0,6.0,6.0,11.0,70.0,33.0,6.0,6.0,11.0,70.0,33.0,6.0,6.0,11.0,70.0,33.0,6.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,82.0,27.0,6.0,5.0,9.0,82.0,27.0,6.0,5.0,9.0,82.0,27.0,6.0,5.0,9.0,82.0,27.0,6.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,96.0,33.0,8.0,12.0,9.0,96.0,33.0,8.0,12.0,9.0,96.0,33.0,8.0,12.0,9.0,96.0,33.0,8.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,95.0,36.0,10.0,10.0,9.0,95.0,36.0,10.0,10.0,9.0,95.0,36.0,10.0,10.0,9.0,95.0,36.0,10.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,95.0,38.0,12.0,14.0,10.0,95.0,38.0,12.0,14.0,10.0,95.0,38.0,12.0,14.0,10.0,95.0,38.0,12.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,102.0,38.0,14.0,12.0,8.0,102.0,38.0,14.0,12.0,8.0,102.0,38.0,14.0,12.0,8.0,102.0,38.0,14.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,103.0,41.0,19.0,8.0,6.0,103.0,41.0,19.0,8.0,6.0,103.0,41.0,19.0,8.0,6.0,103.0,41.0,19.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,110.0,49.0,20.0,11.0,5.0,110.0,49.0,20.0,11.0,5.0,110.0,49.0,20.0,11.0,5.0,110.0,49.0,20.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,108.0,53.0,15.0,14.0,7.0,108.0,53.0,15.0,14.0,7.0,108.0,53.0,15.0,14.0,7.0,108.0,53.0,15.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,107.0,57.0,13.0,22.0,11.0,107.0,57.0,13.0,22.0,11.0,107.0,57.0,13.0,22.0,11.0,107.0,57.0,13.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,110.0,56.0,13.0,20.0,14.0,110.0,56.0,13.0,20.0,14.0,110.0,56.0,13.0,20.0,14.0,110.0,56.0,13.0,20.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
