patienttype,scenario,hospital,date,admitted,admitted_std,active,active_std
total,moderate,BMC,2021-01-21,3.78387096774194,1.95804325863999,49.0,5.24294779307158
total,moderate,BMC,2021-01-22,4.10967741935484,1.73043996618978,49.605555555555604,5.27889107170533
total,moderate,BMC,2021-01-23,4.11290322580645,1.95353144834349,49.2143369175628,5.16074997171453
total,moderate,BMC,2021-01-24,4.664516129032259,2.5959706230129598,49.4327956989248,5.725870967378469
total,moderate,BMC,2021-01-25,3.3612903225806496,1.5837231387553001,48.9448028673836,5.609547569403679
total,moderate,BMC,2021-01-26,3.80645161290323,1.7783528957583898,48.179390681003596,5.34559637686476
total,moderate,BMC,2021-01-27,3.38709677419355,1.90038059608848,46.8268817204302,5.93775289729228
total,moderate,BMC,2021-01-28,4.006451612903231,2.25330373707799,46.6324372759857,5.60420627668855
total,moderate,BMC,2021-01-29,3.90322580645161,2.1828486671893104,46.27992831541221,5.674500716071059
total,moderate,BMC,2021-01-30,4.0741935483871,2.11697711172589,47.027419354838706,5.49126636063999
total,moderate,BMC,2021-01-31,3.8258064516129,2.11644372168389,46.6813620071685,5.72184688171338
total,moderate,BMC,2021-02-01,4.26774193548387,2.2207071086559202,46.9933691756273,6.21298696891942
total,moderate,BMC,2021-02-02,3.6645161290322594,2.07372944188169,46.3860215053764,6.50166071796824
total,moderate,BMC,2021-02-03,3.90322580645161,2.0201379497718,46.1786738351255,6.936486049122959
total,moderate,BMC,2021-02-04,3.6225806451612903,1.95666102647562,46.4455197132617,7.4722441664077195
total,moderate,BMC,2021-02-05,3.74516129032258,1.99262166580053,45.3833333333334,7.22658117966621
total,moderate,BMC,2021-02-06,3.78387096774194,2.09185775964249,44.90501792114701,7.51584105775336
total,moderate,BMC,2021-02-07,3.73870967741935,2.06806398780315,44.6847670250896,7.84652736408522
total,moderate,BMC,2021-02-08,3.66774193548387,2.14985177235086,44.551612903225795,8.03889413654675
total,moderate,BMC,2021-02-09,3.36774193548387,1.9126720199718898,43.341039426523295,7.637930431046811
total,moderate,BMC,2021-02-10,3.49032258064516,2.01724098368646,42.688530465949896,7.4586783986665095
total,moderate,BMC,2021-02-11,3.2741935483871,2.0772916209978898,41.95860215053771,7.57203629222827
total,moderate,BMC,2021-02-12,3.28387096774194,1.8742907087135698,41.399641577061,7.5353078028480605
total,moderate,BMC,2021-02-13,3.3935483870967698,1.98542032339803,40.8277777777778,7.535958889137611
total,moderate,BMC,2021-02-14,3.2967741935483903,1.98111794294286,40.1043010752689,7.47886094817961
total,moderate,BMC,2021-02-15,3.29032258064516,1.91586834329631,39.455017921147,7.44919734622581
total,moderate,BMC,2021-02-16,3.33225806451613,1.92502821039642,39.3637992831542,7.5204812264383305
total,moderate,BMC,2021-02-17,3.31612903225806,1.92019770053948,39.030645161290394,7.59388274540004
total,moderate,BMC,2021-02-18,3.27741935483871,1.8735355015997,38.7878136200717,7.8092536959841
total,moderate,BMC,2021-02-19,3.21612903225806,1.9809734938536299,38.3546594982079,7.69008240044945
total,moderate,BMC,2021-02-20,3.0193548387096802,1.8664126976530302,37.7698924731183,7.75872909768335
total,moderate,BMC,2021-02-21,3.25806451612903,1.88829573161389,37.543189964157705,7.9350747337486895
total,moderate,BMC,2021-02-22,3.04838709677419,1.85461429217418,36.9584229390681,7.963209498379941
total,moderate,BMC,2021-02-23,3.15806451612903,1.89162401528224,36.6607526881721,8.071984283988499
total,moderate,BMC,2021-02-24,3.05806451612903,2.04225905809077,36.2146953405018,7.923479643225419
total,moderate,BMC,2021-02-25,3.23870967741935,1.8993508941053001,35.871863799283204,8.151597584779509
total,moderate,BMC,2021-02-26,3.2645161290322595,2.22036736092967,36.0290322580645,8.546682727231559
total,moderate,BMC,2021-02-27,3.30645161290323,2.01116809003334,36.0765232974911,8.79788606243192
