hospital,date,active,admissions
BMC,2020-03-12,0,0
BMC,2020-03-13,0,0
BMC,2020-03-14,0,0
BMC,2020-03-15,0,0
BMC,2020-03-16,0,0
BMC,2020-03-17,0,0
BMC,2020-03-18,1,2
BMC,2020-03-19,1,0
BMC,2020-03-20,0,0
BMC,2020-03-21,1,0
BMC,2020-03-22,0,0
BMC,2020-03-23,2,1
BMC,2020-03-24,3,1
BMC,2020-03-25,3,0
BMC,2020-03-26,3,1
BMC,2020-03-27,1,0
BMC,2020-03-28,1,2
BMC,2020-03-29,4,3
BMC,2020-03-30,4,2
BMC,2020-03-31,7,2
BMC,2020-04-01,9,2
BMC,2020-04-02,11,2
BMC,2020-04-03,12,3
BMC,2020-04-04,14,2
BMC,2020-04-05,15,5
BMC,2020-04-06,21,2
BMC,2020-04-07,24,0
BMC,2020-04-08,16,1
BMC,2020-04-09,15,4
BMC,2020-04-10,9,1
BMC,2020-04-11,12,5
BMC,2020-04-12,16,2
BMC,2020-04-13,14,2
BMC,2020-04-14,19,1
BMC,2020-04-15,23,4
BMC,2020-04-16,21,1
BMC,2020-04-17,22,5
BMC,2020-04-18,23,3
BMC,2020-04-19,25,3
BMC,2020-04-20,27,3
BMC,2020-04-21,27,2
BMC,2020-04-22,29,2
BMC,2020-04-23,29,6
BMC,2020-04-24,32,5
BMC,2020-04-25,35,2
BMC,2020-04-26,33,1
BMC,2020-04-27,31,3
BMC,2020-04-28,34,4
BMC,2020-04-29,28,2
BMC,2020-04-30,28,2
BMC,2020-05-01,28,5
BMC,2020-05-02,32,5
BMC,2020-05-03,30,5
BMC,2020-05-04,34,7
BMC,2020-05-05,30,3
BMC,2020-05-06,30,5
BMC,2020-05-07,29,2
BMC,2020-05-08,27,2
BMC,2020-05-09,27,4
BMC,2020-05-10,31,3
BMC,2020-05-11,37,9
BMC,2020-05-12,40,5
BMC,2020-05-13,43,5
BMC,2020-05-14,43,4
BMC,2020-05-15,46,4
BMC,2020-05-16,42,5
BMC,2020-05-17,43,2
BMC,2020-05-18,41,2
BMC,2020-05-19,41,6
BMC,2020-05-20,39,1
BMC,2020-05-21,37,3
BMC,2020-05-22,42,13
BMC,2020-05-23,49,6
BMC,2020-05-24,45,3
BMC,2020-05-25,42,2
BMC,2020-05-26,42,4
BMC,2020-05-27,41,4
BMC,2020-05-28,36,2
BMC,2020-05-29,32,1
BMC,2020-05-30,28,3
BMC,2020-05-31,29,2
BMC,2020-06-01,27,0
BMC,2020-06-02,28,6
BMC,2020-06-03,29,3
BMC,2020-06-04,28,5
BMC,2020-06-05,32,4
BMC,2020-06-06,36,6
BMC,2020-06-07,40,4
BMC,2020-06-08,35,0
BMC,2020-06-09,30,0
BMC,2020-06-10,23,3
BMC,2020-06-11,24,3
BMC,2020-06-12,21,2
BMC,2020-06-13,18,2
BMC,2020-06-14,18,2
BMC,2020-06-15,19,2
BMC,2020-06-16,22,0
BMC,2020-06-17,23,1
BMC,2020-06-18,23,3
BMC,2020-06-19,21,1
BMC,2020-06-20,20,1
BMC,2020-06-21,19,0
BMC,2020-06-22,19,0
BMC,2020-06-23,17,2
BMC,2020-06-24,18,2
BMC,2020-06-25,16,0
BMC,2020-06-26,15,0
BMC,2020-06-27,13,1
BMC,2020-06-28,15,5
BMC,2020-06-29,14,1
BMC,2020-06-30,19,5
BMC,2020-07-01,19,1
BMC,2020-07-02,19,5
BMC,2020-07-03,17,2
BMC,2020-07-04,17,2
BMC,2020-07-05,20,4
BMC,2020-07-06,22,3
BMC,2020-07-07,25,3
BMC,2020-07-08,18,0
BMC,2020-07-09,19,5
BMC,2020-07-10,17,2
BMC,2020-07-11,17,1
BMC,2020-07-12,18,0
BMC,2020-07-13,16,3
BMC,2020-07-14,19,3
BMC,2020-07-15,18,1
BMC,2020-07-16,18,1
BMC,2020-07-17,16,1
BMC,2020-07-18,18,7
BMC,2020-07-19,22,2
BMC,2020-07-20,22,3
BMC,2020-07-21,24,1
BMC,2020-07-22,24,2
BMC,2020-07-23,21,0
BMC,2020-07-24,17,3
BMC,2020-07-25,20,2
BMC,2020-07-26,23,2
BMC,2020-07-27,25,2
BMC,2020-07-28,25,1
BMC,2020-07-29,25,2
BMC,2020-07-30,24,2
BMC,2020-07-31,22,3
BMC,2020-08-01,20,4
BMC,2020-08-02,22,1
BMC,2020-08-03,22,2
BMC,2020-08-04,22,4
BMC,2020-08-05,21,1
BMC,2020-08-06,19,1
BMC,2020-08-07,20,2
BMC,2020-08-08,21,3
BMC,2020-08-09,22,1
BMC,2020-08-10,18,0
BMC,2020-08-11,17,2
BMC,2020-08-12,18,4
BMC,2020-08-13,20,2
BMC,2020-08-14,21,4
BMC,2020-08-15,19,3
BMC,2020-08-16,17,1
BMC,2020-08-17,16,1
BMC,2020-08-18,15,1
BMC,2020-08-19,16,3
BMC,2020-08-20,15,1
BMC,2020-08-21,13,1
BMC,2020-08-22,15,3
BMC,2020-08-23,16,1
BMC,2020-08-24,19,3
BMC,2020-08-25,19,4
BMC,2020-08-26,21,2
BMC,2020-08-27,20,4
BMC,2020-08-28,22,1
BMC,2020-08-29,22,2
BMC,2020-08-30,17,1
BMC,2020-08-31,19,1
BMC,2020-09-01,19,2
BMC,2020-09-02,18,2
BMC,2020-09-03,20,2
BMC,2020-09-04,18,1
BMC,2020-09-05,18,1
BMC,2020-09-06,19,1
BMC,2020-09-07,19,0
BMC,2020-09-08,21,4
BMC,2020-09-09,23,0
BMC,2020-09-10,17,1
BMC,2020-09-11,14,1
BMC,2020-09-12,12,0
BMC,2020-09-13,13,3
BMC,2020-09-14,12,0
BMC,2020-09-15,10,0
BMC,2020-09-16,8,0
BMC,2020-09-17,7,0
BMC,2020-09-18,8,2
BMC,2020-09-19,8,1
BMC,2020-09-20,7,0
BMC,2020-09-21,7,0
BMC,2020-09-22,9,3
BMC,2020-09-23,7,2
BMC,2020-09-24,9,1
BMC,2020-09-25,9,1
BMC,2020-09-26,7,1
BMC,2020-09-27,6,0
BMC,2020-09-28,6,1
BMC,2020-09-29,5,0
BMC,2020-09-30,5,0
BMC,2020-10-01,5,1
BMC,2020-10-02,6,0
BMC,2020-10-03,6,3
BMC,2020-10-04,9,0
BMC,2020-10-05,10,0
BMC,2020-10-06,11,1
BMC,2020-10-07,10,1
BMC,2020-10-08,10,1
BMC,2020-10-09,12,3
BMC,2020-10-10,13,1
BMC,2020-10-11,11,0
BMC,2020-10-12,11,2
BMC,2020-10-13,10,0
BMC,2020-10-14,9,0
BMC,2020-10-15,9,1
