hospital,date,active_total,active_total_flagged,active_icu,active_acute,admissions_total
BMC,2020-03-12,0,0,0,0,0
BMC,2020-03-13,0,0,0,0,0
BMC,2020-03-14,0,0,0,0,0
BMC,2020-03-15,0,0,0,0,0
BMC,2020-03-16,0,0,0,0,0
BMC,2020-03-17,0,0,0,0,0
BMC,2020-03-18,1,1,0,1,2
BMC,2020-03-19,1,1,0,1,0
BMC,2020-03-20,0,0,0,0,0
BMC,2020-03-21,1,1,0,1,0
BMC,2020-03-22,0,0,0,0,0
BMC,2020-03-23,2,2,0,2,1
BMC,2020-03-24,3,3,0,3,1
BMC,2020-03-25,3,3,0,3,0
BMC,2020-03-26,3,3,0,3,1
BMC,2020-03-27,1,1,1,0,0
BMC,2020-03-28,1,1,0,1,2
BMC,2020-03-29,4,4,0,4,3
BMC,2020-03-30,4,4,1,3,2
BMC,2020-03-31,7,7,2,5,2
BMC,2020-04-01,9,9,2,7,2
BMC,2020-04-02,11,11,4,7,2
BMC,2020-04-03,12,12,5,7,3
BMC,2020-04-04,14,13,5,9,2
BMC,2020-04-05,15,14,6,9,5
BMC,2020-04-06,21,20,7,14,2
BMC,2020-04-07,24,23,8,16,0
BMC,2020-04-08,16,15,7,9,1
BMC,2020-04-09,15,15,7,8,4
BMC,2020-04-10,9,9,5,4,1
BMC,2020-04-11,12,12,6,6,5
BMC,2020-04-12,16,16,8,8,2
BMC,2020-04-13,14,14,9,5,2
BMC,2020-04-14,19,19,8,11,1
BMC,2020-04-15,23,23,9,14,4
BMC,2020-04-16,21,21,10,11,1
BMC,2020-04-17,22,22,10,12,5
BMC,2020-04-18,23,22,9,14,3
BMC,2020-04-19,25,24,9,16,3
BMC,2020-04-20,27,26,11,16,3
BMC,2020-04-21,27,26,14,13,2
BMC,2020-04-22,29,28,12,17,2
BMC,2020-04-23,29,28,11,18,6
BMC,2020-04-24,32,31,14,18,5
BMC,2020-04-25,35,34,15,20,2
BMC,2020-04-26,33,31,15,18,1
BMC,2020-04-27,31,30,12,19,3
BMC,2020-04-28,34,33,11,23,4
BMC,2020-04-29,28,27,11,17,2
BMC,2020-04-30,28,28,10,18,2
BMC,2020-05-01,28,28,11,17,5
BMC,2020-05-02,32,31,11,21,5
BMC,2020-05-03,30,29,11,19,5
BMC,2020-05-04,34,33,10,24,7
BMC,2020-05-05,30,29,13,17,3
BMC,2020-05-06,30,29,13,17,5
BMC,2020-05-07,29,28,15,14,2
BMC,2020-05-08,27,26,12,15,2
BMC,2020-05-09,27,26,12,15,4
BMC,2020-05-10,31,30,13,18,3
BMC,2020-05-11,37,36,11,26,9
BMC,2020-05-12,40,38,14,26,5
BMC,2020-05-13,43,39,14,29,5
BMC,2020-05-14,43,40,13,30,4
BMC,2020-05-15,46,43,14,32,4
BMC,2020-05-16,42,39,14,28,5
BMC,2020-05-17,43,40,17,26,2
BMC,2020-05-18,41,38,18,23,2
BMC,2020-05-19,41,38,17,24,6
BMC,2020-05-20,39,35,18,21,1
BMC,2020-05-21,37,33,18,19,3
BMC,2020-05-22,42,38,16,26,13
BMC,2020-05-23,49,45,22,27,6
BMC,2020-05-24,45,41,18,27,3
BMC,2020-05-25,42,38,20,22,2
BMC,2020-05-26,42,38,19,23,4
BMC,2020-05-27,41,37,17,24,4
BMC,2020-05-28,36,34,14,22,2
BMC,2020-05-29,32,30,14,18,1
BMC,2020-05-30,28,25,15,13,3
BMC,2020-05-31,29,27,13,16,2
BMC,2020-06-01,27,26,14,13,0
BMC,2020-06-02,28,27,14,14,6
BMC,2020-06-03,29,28,13,16,3
BMC,2020-06-04,28,27,12,16,5
BMC,2020-06-05,32,31,13,19,4
BMC,2020-06-06,36,34,13,23,6
BMC,2020-06-07,40,38,13,27,4
BMC,2020-06-08,35,33,14,21,0
BMC,2020-06-09,30,27,12,18,0
BMC,2020-06-10,23,19,9,14,3
BMC,2020-06-11,24,21,8,16,3
BMC,2020-06-12,21,18,7,14,2
BMC,2020-06-13,18,16,8,10,2
BMC,2020-06-14,18,16,8,10,2
BMC,2020-06-15,19,16,8,11,2
BMC,2020-06-16,22,19,9,13,0
BMC,2020-06-17,23,20,9,14,1
BMC,2020-06-18,23,19,7,16,3
BMC,2020-06-19,21,18,9,12,1
BMC,2020-06-20,20,17,10,10,1
BMC,2020-06-21,19,16,9,10,0
BMC,2020-06-22,19,15,8,11,0
BMC,2020-06-23,17,13,7,10,2
BMC,2020-06-24,18,14,7,11,2
BMC,2020-06-25,16,13,8,8,0
BMC,2020-06-26,15,12,6,9,0
BMC,2020-06-27,13,10,5,8,1
BMC,2020-06-28,15,12,5,10,5
BMC,2020-06-29,14,10,6,8,1
BMC,2020-06-30,19,14,6,13,5
BMC,2020-07-01,19,14,8,11,1
BMC,2020-07-02,19,16,5,14,5
BMC,2020-07-03,17,15,5,12,2
BMC,2020-07-04,17,15,6,11,2
BMC,2020-07-05,20,18,6,14,4
BMC,2020-07-06,22,20,8,14,3
BMC,2020-07-07,25,22,9,16,3
BMC,2020-07-08,18,14,6,12,0
BMC,2020-07-09,19,16,5,14,5
BMC,2020-07-10,17,15,4,13,2
BMC,2020-07-11,17,15,4,13,1
BMC,2020-07-12,18,16,4,14,0
BMC,2020-07-13,16,14,4,12,3
BMC,2020-07-14,19,17,4,15,3
BMC,2020-07-15,18,16,5,13,1
BMC,2020-07-16,18,15,4,14,1
BMC,2020-07-17,16,13,2,14,1
BMC,2020-07-18,18,16,2,16,7
BMC,2020-07-19,22,20,2,20,2
BMC,2020-07-20,22,19,3,19,3
BMC,2020-07-21,24,20,3,21,1
BMC,2020-07-22,24,20,4,20,2
BMC,2020-07-23,21,16,4,17,0
BMC,2020-07-24,17,13,4,13,3
BMC,2020-07-25,20,15,4,16,2
BMC,2020-07-26,23,18,4,19,2
BMC,2020-07-27,25,20,5,20,2
BMC,2020-07-28,25,20,5,20,1
BMC,2020-07-29,25,20,4,21,2
BMC,2020-07-30,24,19,4,20,2
BMC,2020-07-31,22,17,4,18,3
BMC,2020-08-01,20,14,3,17,4
BMC,2020-08-02,22,16,4,18,1
BMC,2020-08-03,22,16,3,19,2
BMC,2020-08-04,22,15,5,17,4
BMC,2020-08-05,21,14,5,16,1
BMC,2020-08-06,19,14,4,15,1
BMC,2020-08-07,20,14,4,16,2
BMC,2020-08-08,21,13,5,16,3
BMC,2020-08-09,22,14,5,17,1
BMC,2020-08-10,18,11,4,14,0
BMC,2020-08-11,17,10,4,13,2
BMC,2020-08-12,18,12,3,15,4
