hospital,date,occupancy_combined,occupancy_combined_flagged,occupancy_icu,occupancy_icu_flagged,occupancy_acute,admissions_combined,admissions_icu
BMC,2020-03-12,0,0,0,0,0,0,0
BMC,2020-03-13,0,0,0,0,0,0,0
BMC,2020-03-14,0,0,0,0,0,0,0
BMC,2020-03-15,0,0,0,0,0,0,0
BMC,2020-03-16,0,0,0,0,0,0,0
BMC,2020-03-17,0,0,0,0,0,0,0
BMC,2020-03-18,1,1,0,0,1,2,0
BMC,2020-03-19,1,1,0,0,1,0,0
BMC,2020-03-20,0,0,0,0,0,0,0
BMC,2020-03-21,1,1,0,0,1,0,0
BMC,2020-03-22,0,0,0,0,0,0,0
BMC,2020-03-23,2,2,0,0,2,1,0
BMC,2020-03-24,3,3,0,0,3,1,0
BMC,2020-03-25,3,3,0,0,3,0,0
BMC,2020-03-26,3,3,0,0,3,1,0
BMC,2020-03-27,1,1,1,1,0,0,0
BMC,2020-03-28,1,1,0,0,1,2,0
BMC,2020-03-29,4,4,0,0,4,3,1
BMC,2020-03-30,4,4,1,1,3,2,0
BMC,2020-03-31,7,7,2,2,5,2,0
BMC,2020-04-01,9,9,2,2,7,2,1
BMC,2020-04-02,11,11,4,4,7,2,0
BMC,2020-04-03,12,12,5,5,7,3,0
BMC,2020-04-04,14,13,5,5,9,2,0
BMC,2020-04-05,15,14,6,6,9,5,0
BMC,2020-04-06,21,20,7,7,14,2,0
BMC,2020-04-07,24,23,8,8,16,0,0
BMC,2020-04-08,16,15,7,7,9,1,0
BMC,2020-04-09,15,15,7,7,8,4,0
BMC,2020-04-10,9,9,5,5,4,1,0
BMC,2020-04-11,12,12,6,6,6,4,0
BMC,2020-04-12,16,16,8,8,8,2,1
BMC,2020-04-13,14,14,9,9,5,2,0
BMC,2020-04-14,19,19,8,8,11,1,0
BMC,2020-04-15,21,21,9,9,12,4,0
BMC,2020-04-16,17,17,8,8,9,0,0
BMC,2020-04-17,17,17,7,7,10,5,0
BMC,2020-04-18,18,18,7,7,11,3,0
BMC,2020-04-19,20,20,7,7,13,3,0
BMC,2020-04-20,22,22,8,8,14,3,0
BMC,2020-04-21,22,22,11,11,11,2,0
BMC,2020-04-22,23,23,8,8,15,2,0
BMC,2020-04-23,23,23,7,7,16,6,0
BMC,2020-04-24,26,26,10,10,16,5,0
BMC,2020-04-25,28,28,10,10,18,2,0
BMC,2020-04-26,26,26,10,10,16,1,0
BMC,2020-04-27,25,25,9,9,16,3,0
BMC,2020-04-28,28,28,9,9,19,3,1
BMC,2020-04-29,21,21,7,7,14,2,0
BMC,2020-04-30,25,25,8,8,17,2,0
